"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 20, 2018","1.1774","1.1693","1.1788","1.1674","13.34K","0.68%"
"Jul 19, 2018","1.1694","1.1694","1.1728","1.1623","16.90K","-0.05%"
"Jul 18, 2018","1.1700","1.1713","1.1717","1.1653","9.93K","-0.14%"
"Jul 17, 2018","1.1716","1.1766","1.1798","1.1701","10.27K","-0.43%"
"Jul 16, 2018","1.1767","1.1742","1.1779","1.1729","8.04K","0.31%"
"Jul 13, 2018","1.1731","1.1724","1.1741","1.1667","9.50K","0.04%"
"Jul 12, 2018","1.1726","1.1729","1.1751","1.1704","9.13K","-0.03%"
"Jul 11, 2018","1.1730","1.1799","1.1816","1.1723","14.76K","-0.63%"
"Jul 10, 2018","1.1804","1.1810","1.1823","1.1750","10.05K","-0.04%"
"Jul 09, 2018","1.1809","1.1818","1.1851","1.1793","9.37K","0.03%"
"Jul 06, 2018","1.1805","1.1750","1.1830","1.1740","11.66K","0.55%"
"Jul 05, 2018","1.1741","1.1723","1.1781","1.1694","16.63K","0.15%"
"Jul 04, 2018","1.1723","1.1722","1.1745","1.1694","-","0.07%"
"Jul 03, 2018","1.1715","1.1694","1.1737","1.1686","10.53K","0.34%"
"Jul 02, 2018","1.1675","1.1735","1.1747","1.1656","12.27K","-0.52%"
"Jun 29, 2018","1.1736","1.1631","1.1758","1.1625","21.44K","0.96%"
"Jun 28, 2018","1.1624","1.1625","1.1670","1.1594","15.86K","-0.03%"
"Jun 27, 2018","1.1628","1.1721","1.1745","1.1611","14.85K","-0.81%"
"Jun 26, 2018","1.1723","1.1776","1.1794","1.1707","15.21K","-0.47%"
"Jun 25, 2018","1.1778","1.1740","1.1787","1.1703","15.87K","0.34%"
"Jun 22, 2018","1.1738","1.1680","1.1750","1.1675","20.08K","0.34%"
"Jun 21, 2018","1.1698","1.1649","1.1709","1.1582","19.92K","0.30%"
"Jun 20, 2018","1.1663","1.1664","1.1677","1.1613","14.28K","0.09%"
"Jun 19, 2018","1.1653","1.1700","1.1725","1.1610","20.23K","0.46%"
"Jun 18, 2018","1.1600","1.1592","1.1629","1.1565","0.21K","-0.07%"
"Jun 15, 2018","1.1608","1.1575","1.1627","1.1544","4.85K","0.12%"
"Jun 14, 2018","1.1594","1.1797","1.1855","1.1564","31.76K","-1.56%"
"Jun 13, 2018","1.1778","1.1751","1.1805","1.1729","18.04K","0.20%"
"Jun 12, 2018","1.1755","1.1787","1.1815","1.1738","14.81K","-0.32%"
"Jun 11, 2018","1.1793","1.1780","1.1826","1.1776","13.86K","0.14%"
"Jun 08, 2018","1.1777","1.1805","1.1816","1.1734","17.26K","-0.32%"
"Jun 07, 2018","1.1815","1.1784","1.1848","1.1782","18.05K","0.31%"
"Jun 06, 2018","1.1778","1.1726","1.1805","1.1723","23.99K","0.46%"
"Jun 05, 2018","1.1724","1.1707","1.1742","1.1662","23.94K","0.13%"
"Jun 04, 2018","1.1709","1.1675","1.1757","1.1672","18.68K","0.29%"
"Jun 01, 2018","1.1675","1.1706","1.1729","1.1629","27.00K","-0.22%"
"May 31, 2018","1.1701","1.1684","1.1736","1.1654","33.29K","0.28%"
"May 30, 2018","1.1668","1.1558","1.1691","1.1533","33.69K","1.04%"
"May 29, 2018","1.1548","1.1704","1.1746","1.1526","52.44K","-0.82%"
"May 28, 2018","1.1643","1.1706","1.1745","1.1624","-","-0.54%"
"May 27, 2018","1.1706","1.1704","1.1709","1.1692","-","0.22%"
"May 25, 2018","1.1680","1.1738","1.1752","1.1663","22.79K","-0.56%"
"May 24, 2018","1.1746","1.1718","1.1768","1.1709","19.84K","0.23%"
"May 23, 2018","1.1719","1.1798","1.1810","1.1696","31.25K","-0.69%"
"May 22, 2018","1.1800","1.1815","1.1852","1.1779","17.46K","0.04%"
"May 21, 2018","1.1795","1.1789","1.1819","1.1739","14.44K","-0.02%"
"May 18, 2018","1.1797","1.1819","1.1846","1.1773","15.38K","-0.22%"
"May 17, 2018","1.1823","1.1835","1.1861","1.1801","18.42K","-0.04%"
"May 16, 2018","1.1828","1.1867","1.1881","1.1791","22.08K","-0.40%"
"May 15, 2018","1.1876","1.1970","1.1970","1.1848","18.45K","-0.80%"
"May 14, 2018","1.1972","1.1975","1.2024","1.1955","12.55K","-0.01%"
"May 11, 2018","1.1973","1.1944","1.1997","1.1921","14.98K","0.13%"
"May 10, 2018","1.1957","1.1882","1.1977","1.1874","21.12K","0.53%"
"May 09, 2018","1.1894","1.1896","1.1929","1.1855","15.71K","0.03%"
"May 08, 2018","1.1890","1.1955","1.1972","1.1872","18.04K","-0.58%"
"May 07, 2018","1.1959","1.1994","1.2013","1.1932","12.67K","-0.33%"
"May 04, 2018","1.1999","1.2021","1.2031","1.1946","19.57K","-0.25%"
"May 03, 2018","1.2029","1.1992","1.2045","1.1984","20.34K","0.03%"
"May 02, 2018","1.2025","1.2033","1.2071","1.1977","21.41K","-0.09%"
"May 01, 2018","1.2036","1.2118","1.2126","1.2022","14.19K","-0.72%"
"Apr 30, 2018","1.2123","1.2170","1.2181","1.2106","19.36K","-0.34%"
"Apr 27, 2018","1.2164","1.2146","1.2178","1.2098","23.28K","0.12%"
"Apr 26, 2018","1.2150","1.2208","1.2255","1.2140","29.27K","-0.61%"
"Apr 25, 2018","1.2224","1.2280","1.2286","1.2206","17.49K","-0.50%"
"Apr 24, 2018","1.2285","1.2260","1.2294","1.2229","17.94K","0.25%"
"Apr 23, 2018","1.2254","1.2332","1.2338","1.2247","15.96K","-0.64%"
"Apr 20, 2018","1.2333","1.2396","1.2403","1.2299","18.54K","-0.45%"
"Apr 19, 2018","1.2389","1.2431","1.2452","1.2380","18.23K","-0.34%"
